地區,政黨,號次,得票數,得票率
臺北市北投區建民里,台灣國民會議,1,20,0.77%
臺北市北投區建民里,人民最大黨,2,12,0.46%
臺北市北投區建民里,民主進步黨,3,996,38.75%
臺北市北投區建民里,台灣團結聯盟,4,314,12.21%
臺北市北投區建民里,中國國民黨,5,964,37.50%
臺北市北投區建民里,新黨,6,56,2.17%
臺北市北投區建民里,健保免費連線,7,20,0.77%
臺北市北投區建民里,綠黨,8,71,2.76%
臺北市北投區建民里,親民黨,9,110,4.28%
臺北市北投區建民里,中華民國臺灣基本法連線,10,3,0.11%
臺北市北投區建民里,台灣主義黨,11,4,0.15%
臺北市北投區文林里,台灣國民會議,1,15,0.52%
臺北市北投區文林里,人民最大黨,2,3,0.10%
臺北市北投區文林里,民主進步黨,3,1040,36.50%
臺北市北投區文林里,台灣團結聯盟,4,316,11.09%
臺北市北投區文林里,中國國民黨,5,1178,41.34%
臺北市北投區文林里,新黨,6,58,2.03%
臺北市北投區文林里,健保免費連線,7,17,0.59%
臺北市北投區文林里,綠黨,8,80,2.80%
臺北市北投區文林里,親民黨,9,134,4.70%
臺北市北投區文林里,中華民國臺灣基本法連線,10,2,0.07%
臺北市北投區文林里,台灣主義黨,11,6,0.21%
臺北市北投區石牌里,台灣國民會議,1,14,0.40%
臺北市北投區石牌里,人民最大黨,2,13,0.37%
臺北市北投區石牌里,民主進步黨,3,1272,36.42%
臺北市北投區石牌里,台灣團結聯盟,4,316,9.04%
臺北市北投區石牌里,中國國民黨,5,1507,43.15%
臺北市北投區石牌里,新黨,6,63,1.80%
臺北市北投區石牌里,健保免費連線,7,24,0.68%
臺北市北投區石牌里,綠黨,8,101,2.89%
臺北市北投區石牌里,親民黨,9,172,4.92%
臺北市北投區石牌里,中華民國臺灣基本法連線,10,7,0.20%
臺北市北投區石牌里,台灣主義黨,11,3,0.08%
臺北市北投區福興里,台灣國民會議,1,52,1.15%
臺北市北投區福興里,人民最大黨,2,18,0.40%
臺北市北投區福興里,民主進步黨,3,1500,33.40%
臺北市北投區福興里,台灣團結聯盟,4,404,8.99%
臺北市北投區福興里,中國國民黨,5,1999,44.51%
臺北市北投區福興里,新黨,6,124,2.76%
臺北市北投區福興里,健保免費連線,7,30,0.66%
臺北市北投區福興里,綠黨,8,89,1.98%
臺北市北投區福興里,親民黨,9,258,5.74%
臺北市北投區福興里,中華民國臺灣基本法連線,10,7,0.15%
臺北市北投區福興里,台灣主義黨,11,10,0.22%
臺北市北投區榮光里,台灣國民會議,1,25,0.56%
臺北市北投區榮光里,人民最大黨,2,16,0.35%
臺北市北投區榮光里,民主進步黨,3,1446,32.41%
臺北市北投區榮光里,台灣團結聯盟,4,395,8.85%
臺北市北投區榮光里,中國國民黨,5,2065,46.29%
臺北市北投區榮光里,新黨,6,124,2.77%
臺北市北投區榮光里,健保免費連線,7,30,0.67%
臺北市北投區榮光里,綠黨,8,115,2.57%
臺北市北投區榮光里,親民黨,9,237,5.31%
臺北市北投區榮光里,中華民國臺灣基本法連線,10,1,0.02%
臺北市北投區榮光里,台灣主義黨,11,7,0.15%
臺北市北投區榮華里,台灣國民會議,1,44,0.90%
臺北市北投區榮華里,人民最大黨,2,14,0.28%
臺北市北投區榮華里,民主進步黨,3,1463,30.10%
